AvgDistance,LowestDistanceThisGen,LowestDistance
51126.35,49664.49,49664.49
50021.09,49441.81,49441.81
49644.23,49276.51,49276.51
49292.52,48668.4,48668.4
48284.87,47366.3,47366.3
47287.65,46872.78,46872.78
47701.87,46532.31,46532.31
46582.74,45706.05,45706.05
45769.38,45313.64,45313.64
45754.89,45267.93,45267.93
45531.67,44472.63,44472.63
45157.97,44434.41,44434.41
45082.74,44340.52,44340.52
45123.95,45018.16,44340.52
45419.49,44660.02,44340.52
45007.28,44373.13,44340.52
45331.07,44596.14,44340.52
44761.63,44202.42,44202.42
44562.29,44220.17,44202.42
45638.43,44607.57,44202.42
44828.78,44133.68,44133.68
43887.2,43437.22,43437.22
44312.77,43137.72,43137.72
43913.42,42994.96,42994.96
42355.4,42078.42,42078.42
43033.33,42559.32,42078.42
43752.17,42502.79,42078.42
42938.83,42739.4,42078.42
44055.78,42750.56,42078.42
43172.07,42258.57,42078.42
42607.41,42001.24,42001.24
43075.27,42885.21,42001.24
42533.45,41956.9,41956.9
42017.06,41434.13,41434.13
41822.13,40893.64,40893.64
41364.79,40790.29,40790.29
41721.31,40599.2,40599.2
41955.31,41272.25,40599.2
42864.53,42155.18,40599.2
42553.95,42166.38,40599.2
42159.13,41846.08,40599.2
42401.93,41780.74,40599.2
42396.12,41882.49,40599.2
41803.91,41540.52,40599.2
42132.47,41474.66,40599.2
42092.02,41695.4,40599.2
43588.2,41952.43,40599.2
42248.66,41438.75,40599.2
42142.58,41359.95,40599.2
42157.48,41169.91,40599.2
41935.0,41559.65,40599.2
42213.5,41884.07,40599.2
42720.3,42367.19,40599.2
42791.0,41726.62,40599.2
41926.8,41532.12,40599.2
41975.14,41407.93,40599.2
41803.11,40606.64,40599.2
41378.95,40270.08,40270.08
41926.04,41490.79,40270.08
41726.93,41514.79,40270.08
41679.97,41340.18,40270.08
41595.79,41446.82,40270.08
42667.55,42469.73,40270.08
42736.25,42259.73,40270.08
42460.85,41930.26,40270.08
42664.62,42062.18,40270.08
43090.36,42085.41,40270.08
42661.61,42476.91,40270.08
42566.18,41848.55,40270.08
43208.65,42387.08,40270.08
42732.4,42282.62,40270.08
43218.86,42813.92,40270.08
42970.97,42713.35,40270.08
43638.25,42200.98,40270.08
42523.38,41900.02,40270.08
42681.79,42422.5,40270.08
44580.01,43038.5,40270.08
43155.15,42547.89,40270.08
42951.14,42802.78,40270.08
43430.73,42609.18,40270.08
