AvgDistance,LowestDistanceThisGen,LowestDistance
53435.2,50641.72,50641.72
50746.61,49731.24,49731.24
49357.82,48106.69,48106.69
48326.78,47251.93,47251.93
47073.04,46464.45,46464.45
47154.1,46254.3,46254.3
46637.34,45684.49,45684.49
46655.43,45666.63,45666.63
45977.76,44516.59,44516.59
44901.87,43102.04,43102.04
43592.91,41773.34,41773.34
42220.71,41409.01,41409.01
42431.22,41280.44,41280.44
41827.87,40699.23,40699.23
41620.84,40575.89,40575.89
41508.22,40713.0,40575.89
41427.12,40619.72,40575.89
41290.58,40128.78,40128.78
40725.06,40083.95,40083.95
41285.31,40018.51,40018.51
40340.83,38294.41,38294.41
39117.9,38450.69,38294.41
39286.61,38339.16,38294.41
38800.47,38035.9,38035.9
38806.85,37799.3,37799.3
38558.76,37017.23,37017.23
37584.84,36558.6,36558.6
37178.1,35333.85,35333.85
36429.06,35579.0,35333.85
36675.09,35895.4,35333.85
36965.79,35417.87,35333.85
36195.22,35094.42,35094.42
35817.82,34274.69,34274.69
36118.48,34525.82,34274.69
35863.55,34836.95,34274.69
35758.91,34716.29,34274.69
35872.65,34515.5,34274.69
35831.71,34695.92,34274.69
35308.68,34060.4,34060.4
35027.99,33113.46,33113.46
34456.95,33021.7,33021.7
34338.25,32936.37,32936.37
33777.06,32757.15,32757.15
34023.64,32661.47,32661.47
34106.29,32582.6,32582.6
33812.55,32288.89,32288.89
33531.48,32609.51,32288.89
33654.4,32376.79,32288.89
33710.5,31883.16,31883.16
32932.54,31899.98,31883.16
32794.48,31900.16,31883.16
32735.2,31827.92,31827.92
33271.55,32211.81,31827.92
33289.96,32390.97,31827.92
33563.61,32232.65,31827.92
33648.18,32207.97,31827.92
33206.92,31548.6,31548.6
32563.69,31612.71,31548.6
32938.24,32191.09,31548.6
33912.32,32344.84,31548.6
33709.17,32376.93,31548.6
33484.23,31773.76,31548.6
32789.31,31984.03,31548.6
33176.52,32083.79,31548.6
33800.8,32348.37,31548.6
33628.39,31990.35,31548.6
33662.67,31802.15,31548.6
32676.63,31645.83,31548.6
32761.0,31759.27,31548.6
33005.4,31824.33,31548.6
32467.23,31671.71,31548.6
33729.12,32926.5,31548.6
33887.11,32718.32,31548.6
33523.02,32857.58,31548.6
34169.89,32537.28,31548.6
33623.23,32344.09,31548.6
33951.89,32313.92,31548.6
33956.63,32711.31,31548.6
33664.81,32265.95,31548.6
33969.46,32590.55,31548.6
34096.16,32250.43,31548.6
33566.51,31725.0,31548.6
32549.73,31819.54,31548.6
32840.58,31776.93,31548.6
32468.79,31461.03,31461.03
32194.04,30018.58,30018.58
31498.63,29690.05,29690.05
31778.57,29672.05,29672.05
31012.71,30287.98,29672.05
32663.47,31141.24,29672.05
31900.8,31191.54,29672.05
32388.81,31351.62,29672.05
32588.01,31068.19,29672.05
32515.66,30963.23,29672.05
32084.89,30964.31,29672.05
32046.77,30881.61,29672.05
32519.95,31459.34,29672.05
32340.22,31625.76,29672.05
32469.99,31159.71,29672.05
32361.46,31480.45,29672.05
32543.39,31719.68,29672.05
32590.26,31363.49,29672.05
32938.4,31361.27,29672.05
32940.52,31761.62,29672.05
32677.81,31124.68,29672.05
32496.51,31156.11,29672.05
32618.04,30656.13,29672.05
31959.77,30383.3,29672.05
31712.07,30780.17,29672.05
32234.42,30816.19,29672.05
32744.95,31727.32,29672.05
32908.6,31537.94,29672.05
32206.25,31317.06,29672.05
32424.8,31229.48,29672.05
32248.74,30798.62,29672.05
31934.17,30996.57,29672.05
32447.81,31238.72,29672.05
32840.16,32138.53,29672.05
33590.66,32879.0,29672.05
33876.45,32146.8,29672.05
33633.76,32369.72,29672.05
33747.93,32854.89,29672.05
34254.79,32842.69,29672.05
33659.59,32086.79,29672.05
33078.09,31742.79,29672.05
32945.54,31454.9,29672.05
32283.63,31444.97,29672.05
32704.86,31242.36,29672.05
32902.34,32130.67,29672.05
33510.1,32491.3,29672.05
33597.15,32083.65,29672.05
32716.01,31225.21,29672.05
32503.15,31386.27,29672.05
32422.64,31427.9,29672.05
32560.45,31537.05,29672.05
32447.07,31141.15,29672.05
32055.13,30303.36,29672.05
31176.46,30106.28,29672.05
31689.7,30535.96,29672.05
31905.39,30223.26,29672.05
31671.06,29897.59,29672.05
31299.97,30354.11,29672.05
32012.31,29722.95,29672.05
30906.95,30362.5,29672.05
