AvgDistance,LowestDistanceThisGen,LowestDistance
52211.66,43963.05,43963.05
48923.32,42698.79,42698.79
46857.28,41657.61,41657.61
45071.78,37817.0,37817.0
43782.5,38571.77,37817.0
42481.64,37222.17,37222.17
41155.72,36279.24,36279.24
40060.0,34614.88,34614.88
39022.09,33610.51,33610.51
38062.97,33536.4,33536.4
37334.05,32359.48,32359.48
36602.26,31916.17,31916.17
35837.28,31276.16,31276.16
35022.59,30015.88,30015.88
34539.66,30166.57,30015.88
34062.51,29345.06,29345.06
33669.45,29549.14,29345.06
33258.97,29127.01,29127.01
32894.42,29260.21,29127.01
32591.44,28712.3,28712.3
32349.71,27853.88,27853.88
31871.75,27300.67,27300.67
31432.64,27090.29,27090.29
30878.98,27283.68,27090.29
30655.44,27125.02,27090.29
30410.5,26697.01,26697.01
30375.31,25586.2,25586.2
30189.92,25751.51,25586.2
29862.43,25768.61,25586.2
29710.37,25754.77,25586.2
29699.39,25773.17,25586.2
29666.13,25058.75,25058.75
29609.91,25885.37,25058.75
29391.14,25454.05,25058.75
29325.31,25416.18,25058.75
29213.06,25517.64,25058.75
29200.25,25756.97,25058.75
29260.98,24655.06,24655.06
29113.05,24373.99,24373.99
29033.14,25311.01,24373.99
29013.35,24630.83,24373.99
28923.71,25503.18,24373.99
28802.77,25450.88,24373.99
28934.73,25160.62,24373.99
28884.39,25120.05,24373.99
28766.98,25158.63,24373.99
28711.82,24967.86,24373.99
28638.97,24874.23,24373.99
28656.59,24923.6,24373.99
28543.13,24200.68,24200.68
28475.34,24576.21,24200.68
28332.52,24838.62,24200.68
28286.91,24261.71,24200.68
28178.91,24070.05,24070.05
27952.89,23851.16,23851.16
27864.44,23807.35,23807.35
27857.48,23658.01,23658.01
27699.87,23541.78,23541.78
27358.29,23621.16,23541.78
27100.65,23737.67,23541.78
27003.14,23324.66,23324.66
26901.77,23465.17,23324.66
26673.21,23662.11,23324.66
26688.32,22967.26,22967.26
26500.55,22394.78,22394.78
26362.05,22065.92,22065.92
26304.7,22689.8,22065.92
26076.93,21977.76,21977.76
25847.63,21829.36,21829.36
25571.79,22141.63,21829.36
25491.97,22036.38,21829.36
25406.04,21924.82,21829.36
25476.37,22068.64,21829.36
25375.18,21901.16,21829.36
25317.26,21855.54,21829.36
25435.93,21286.37,21286.37
25350.23,21171.98,21171.98
25271.05,21293.97,21171.98
25272.79,21580.02,21171.98
25305.99,21225.25,21171.98
25243.28,21603.39,21171.98
25215.03,21229.61,21171.98
25132.39,21700.12,21171.98
