AvgDistance,LowestDistanceThisGen,LowestDistance
11937.22,9556.98,9556.98
10808.76,8758.58,8758.58
10066.17,7537.11,7537.11
9478.27,7343.41,7343.41
9092.51,7071.0,7071.0
8791.85,7049.37,7049.37
8623.29,6312.27,6312.27
8349.55,6357.22,6312.27
7942.42,5780.34,5780.34
7841.82,5939.81,5780.34
7705.37,5625.96,5625.96
7741.98,5430.14,5430.14
7669.96,5725.38,5430.14
7707.92,5391.76,5391.76
7391.1,5299.77,5299.77
7428.69,5340.49,5299.77
7386.21,5402.17,5299.77
7407.33,5390.3,5299.77
7315.3,5621.63,5299.77
7619.91,5562.89,5299.77
7463.92,5465.88,5299.77
7582.7,5097.2,5097.2
7236.73,5176.83,5097.2
7362.24,5472.09,5097.2
7263.97,5472.09,5097.2
7191.68,5362.41,5097.2
7269.07,5428.36,5097.2
7288.29,5428.36,5097.2
7420.39,5255.41,5097.2
7281.92,4902.26,4902.26
7097.52,5322.23,4902.26
7297.68,5172.61,4902.26
6992.35,4909.18,4902.26
6844.65,4751.78,4751.78
6909.1,4837.96,4751.78
7055.16,4937.03,4751.78
6984.0,4917.69,4751.78
7056.44,5081.11,4751.78
7308.29,5620.04,4751.78
7529.85,5620.04,4751.78
7556.43,5431.46,4751.78
7532.14,5046.79,4751.78
7309.44,4531.32,4531.32
7312.61,4693.56,4531.32
7073.97,5069.6,4531.32
7106.36,4813.21,4531.32
7017.42,5032.67,4531.32
7142.86,5381.49,4531.32
7460.46,5369.31,4531.32
7367.85,5247.7,4531.32
7640.26,4753.68,4531.32
7396.55,5266.77,4531.32
7090.28,4878.36,4531.32
7348.58,5239.08,4531.32
7171.43,5382.66,4531.32
7304.33,4480.38,4480.38
6805.92,4428.07,4428.07
6647.45,4725.99,4428.07
6622.17,4276.2,4276.2
6758.33,4563.7,4276.2
6592.52,4557.47,4276.2
6739.73,4763.84,4276.2
6975.49,4358.05,4276.2
6851.15,5047.48,4276.2
7074.5,4581.53,4276.2
6831.72,4914.4,4276.2
6882.82,4914.4,4276.2
7026.05,5188.53,4276.2
6963.69,4903.79,4276.2
7030.97,5295.34,4276.2
7153.98,5024.27,4276.2
6975.01,5042.41,4276.2
6957.59,4838.82,4276.2
7079.12,5249.65,4276.2
7107.21,5165.47,4276.2
6970.93,4945.39,4276.2
6940.96,4913.51,4276.2
6859.69,5109.21,4276.2
7009.1,4925.07,4276.2
6880.98,5089.32,4276.2
7151.87,4774.51,4276.2
7018.64,4774.51,4276.2
6961.41,4950.06,4276.2
7278.4,5197.95,4276.2
7306.4,5423.93,4276.2
7355.87,5404.86,4276.2
7530.54,5318.01,4276.2
7370.63,5287.87,4276.2
7200.54,5049.51,4276.2
6880.22,4642.65,4276.2
6878.48,5098.58,4276.2
7007.56,5098.58,4276.2
6909.89,4829.43,4276.2
6739.36,4479.16,4276.2
6636.9,4883.16,4276.2
6823.1,4887.75,4276.2
6833.98,4887.75,4276.2
7160.96,4743.24,4276.2
6728.96,4521.09,4276.2
6784.67,4838.34,4276.2
6632.92,4776.92,4276.2
6894.85,4849.99,4276.2
6767.12,4521.79,4276.2
6714.99,4247.75,4247.75
6530.38,4211.73,4211.73
6540.38,4624.03,4211.73
6643.76,4496.03,4211.73
6682.25,4651.24,4211.73
6874.14,4745.72,4211.73
6974.73,4986.52,4211.73
7074.49,4986.52,4211.73
7034.65,5067.58,4211.73
7197.03,5317.17,4211.73
7220.03,5379.46,4211.73
7332.74,5060.4,4211.73
7343.37,5127.42,4211.73
7428.39,5124.72,4211.73
7242.62,4853.14,4211.73
6896.84,4857.8,4211.73
7087.87,5284.68,4211.73
7130.81,5082.99,4211.73
7098.56,4690.62,4211.73
6994.68,5011.82,4211.73
7236.33,4387.06,4211.73
7110.06,5011.82,4211.73
7284.36,5308.52,4211.73
6994.4,4826.89,4211.73
6972.71,4831.46,4211.73
6823.06,4564.06,4211.73
6993.6,4369.06,4211.73
6993.6,5023.47,4211.73
7046.65,5266.73,4211.73
7146.21,4833.33,4211.73
7255.31,5163.15,4211.73
7108.23,4826.54,4211.73
6929.92,4891.82,4211.73
6963.32,4829.88,4211.73
6947.01,4775.1,4211.73
6797.61,4828.23,4211.73
6881.85,4455.47,4211.73
7051.89,4784.07,4211.73
6849.02,4707.43,4211.73
6861.96,4282.97,4211.73
6615.4,4356.74,4211.73
6598.08,4358.23,4211.73
6491.43,4400.58,4211.73
6656.86,4571.41,4211.73
6751.91,4744.88,4211.73
6742.97,4942.42,4211.73
6896.49,4891.93,4211.73
6860.9,4741.54,4211.73
7082.69,4371.92,4211.73
6729.4,4839.77,4211.73
6659.71,4644.33,4211.73
6789.04,4600.03,4211.73
6602.21,4725.61,4211.73
6789.12,4611.11,4211.73
6347.51,4469.47,4211.73
6559.41,4599.77,4211.73
6527.34,4484.04,4211.73
6800.41,4761.67,4211.73
6865.24,4653.04,4211.73
6725.29,4653.04,4211.73
6823.42,5075.58,4211.73
7058.22,4833.34,4211.73
6899.54,5064.2,4211.73
6841.41,4808.43,4211.73
7013.0,4718.29,4211.73
6806.97,5044.32,4211.73
7043.05,4723.63,4211.73
6780.94,4701.97,4211.73
6962.18,4704.52,4211.73
6761.84,4840.46,4211.73
7066.15,4921.64,4211.73
7106.64,5075.15,4211.73
6887.59,4881.11,4211.73
6918.55,4998.48,4211.73
7110.25,5119.23,4211.73
7203.79,5119.23,4211.73
7235.35,5305.71,4211.73
7163.14,5025.46,4211.73
7122.54,4559.25,4211.73
6932.54,4281.66,4211.73
6756.52,4601.42,4211.73
6942.33,4601.42,4211.73
6759.12,5014.03,4211.73
7023.4,4843.13,4211.73
6955.42,5124.83,4211.73
7264.85,4590.06,4211.73
6959.81,4665.96,4211.73
7026.88,5076.71,4211.73
6957.34,4716.73,4211.73
6941.15,4716.73,4211.73
6971.9,4792.63,4211.73
7061.31,4850.28,4211.73
7097.26,5018.69,4211.73
6757.59,5161.62,4211.73
6916.75,4888.29,4211.73
6794.9,4771.27,4211.73
7032.18,4970.87,4211.73
7156.56,5189.37,4211.73
7021.34,5004.94,4211.73
6887.21,4970.87,4211.73
7008.49,4919.46,4211.73
6865.76,4856.88,4211.73
