AvgDistance,LowestDistanceThisGen,LowestDistance
12023.25,8255.69,8255.69
10627.06,6960.34,6960.34
9811.37,6854.0,6854.0
9111.42,6380.25,6380.25
8650.59,5633.72,5633.72
8296.23,5412.32,5412.32
8117.97,5412.32,5412.32
7804.21,5155.86,5155.86
7629.66,4828.6,4828.6
7546.86,4828.6,4828.6
7396.39,4946.9,4828.6
7311.97,4988.31,4828.6
7296.24,4801.02,4801.02
7218.24,4190.02,4190.02
7175.61,4159.85,4159.85
7045.55,4083.95,4083.95
6970.03,4331.51,4083.95
6873.19,4026.6,4026.6
6779.92,4191.83,4026.6
6682.09,3836.98,3836.98
6597.22,4111.69,3836.98
6509.05,4057.14,3836.98
6468.27,3978.35,3836.98
6401.94,3866.86,3836.98
6345.33,3911.75,3836.98
6314.37,3779.25,3779.25
6242.23,3779.25,3779.25
6290.43,3824.64,3779.25
6328.15,3854.44,3779.25
6345.97,3828.34,3779.25
6311.67,3780.7,3779.25
6267.92,3780.7,3779.25
6293.89,3768.62,3768.62
6304.94,3774.74,3768.62
6244.49,3957.66,3768.62
6302.15,3807.01,3768.62
6341.04,3631.21,3631.21
6240.75,3676.6,3631.21
6188.1,3635.2,3631.21
6172.76,3470.95,3470.95
6220.76,3794.02,3470.95
6253.89,3780.7,3470.95
6284.7,3959.16,3470.95
6309.95,3959.16,3470.95
6338.49,3842.13,3470.95
6285.12,3886.42,3470.95
6366.22,3743.67,3470.95
6264.52,4095.34,3470.95
6306.73,3743.67,3470.95
6223.36,3735.78,3470.95
6303.27,3973.4,3470.95
6391.79,3930.76,3470.95
6311.46,3858.21,3470.95
6298.18,3886.62,3470.95
6317.76,3769.77,3470.95
6366.15,3793.66,3470.95
6286.3,3796.73,3470.95
6294.54,3701.72,3470.95
6282.99,3828.58,3470.95
6295.84,3948.45,3470.95
6381.85,3955.33,3470.95
6381.96,3955.33,3470.95
6351.3,3690.4,3470.95
6376.1,3694.54,3470.95
6341.96,4037.17,3470.95
6407.88,3765.26,3470.95
6368.63,4148.02,3470.95
6397.71,4083.31,3470.95
6386.71,3933.24,3470.95
6364.4,3919.92,3470.95
6326.34,3986.25,3470.95
6257.72,3833.86,3470.95
6259.7,3825.46,3470.95
6134.02,3680.35,3470.95
6220.77,3843.73,3470.95
6365.49,4015.57,3470.95
6347.69,3944.19,3470.95
6434.58,4007.83,3470.95
6403.07,3954.25,3470.95
6402.31,3829.54,3470.95
6377.26,3765.04,3470.95
6293.8,3765.04,3470.95
6245.49,3961.0,3470.95
6375.99,3909.03,3470.95
6335.0,3909.03,3470.95
6225.15,3941.91,3470.95
6275.48,3899.9,3470.95
6316.44,3829.04,3470.95
6292.74,3878.35,3470.95
6270.45,3958.63,3470.95
6327.74,3799.37,3470.95
6346.43,3941.91,3470.95
6258.29,3956.93,3470.95
6321.92,4172.23,3470.95
6407.21,4182.84,3470.95
6490.4,4132.7,3470.95
6426.23,4082.47,3470.95
6378.0,4107.3,3470.95
6393.25,4053.3,3470.95
6458.27,4023.75,3470.95
6421.83,3997.96,3470.95
6415.69,4027.45,3470.95
6453.41,4059.0,3470.95
6481.64,4116.68,3470.95
6413.88,4014.03,3470.95
6514.43,4080.57,3470.95
6363.89,3974.21,3470.95
6411.49,4140.67,3470.95
6399.39,3925.99,3470.95
6349.33,3964.9,3470.95
6309.67,3692.96,3470.95
6390.12,3692.96,3470.95
6363.06,3909.03,3470.95
6387.64,3973.6,3470.95
6297.97,3880.97,3470.95
6311.51,3952.52,3470.95
6285.35,3747.25,3470.95
6278.33,3747.25,3470.95
6252.1,3895.14,3470.95
6211.07,3860.56,3470.95
6278.55,3912.95,3470.95
6291.32,3962.0,3470.95
6291.14,3921.38,3470.95
6273.8,3866.86,3470.95
6343.16,3901.18,3470.95
6343.67,3901.18,3470.95
6288.51,3944.51,3470.95
6274.81,3961.22,3470.95
6354.21,4075.34,3470.95
6349.22,3990.46,3470.95
6490.23,4154.08,3470.95
6500.73,3811.94,3470.95
6519.77,3800.75,3470.95
6456.49,3811.94,3470.95
6448.07,3898.02,3470.95
6459.36,3898.02,3470.95
6418.74,3961.34,3470.95
6445.56,3882.91,3470.95
6374.17,3949.94,3470.95
6443.36,4100.51,3470.95
