AvgDistance,LowestDistanceThisGen,LowestDistance
12061.93,11396.19,11396.19
10660.8,8841.28,8841.28
9331.81,8256.31,8256.31
9627.45,8616.67,8256.31
9833.48,8133.24,8133.24
8247.11,7947.72,7947.72
8076.5,7774.13,7774.13
8864.28,8559.51,7774.13
9379.7,8463.92,7774.13
9841.99,8978.8,7774.13
9713.13,9215.11,7774.13
10142.11,8347.34,7774.13
9243.24,8916.52,7774.13
9964.77,9445.51,7774.13
9798.55,9579.18,7774.13
9692.7,9327.63,7774.13
9317.62,9122.55,7774.13
9679.86,8766.81,7774.13
8823.7,8407.66,7774.13
9283.33,9069.05,7774.13
9865.87,8837.81,7774.13
9771.09,7629.67,7629.67
8454.37,6957.46,6957.46
7908.02,7557.84,6957.46
8549.58,7664.58,6957.46
8158.39,7889.13,6957.46
9036.92,7889.13,6957.46
8584.27,8205.22,6957.46
9532.01,8692.45,6957.46
9345.81,9189.69,6957.46
9308.71,9134.39,6957.46
10123.65,8760.89,6957.46
9008.94,8421.93,6957.46
8395.83,8071.78,6957.46
9565.19,8038.09,6957.46
8340.67,7026.67,6957.46
7655.12,6060.56,6060.56
6932.96,6370.91,6060.56
8058.51,6543.31,6060.56
7137.44,6232.66,6060.56
8048.15,7668.76,6060.56
8609.0,8010.09,6060.56
7975.45,7217.92,6060.56
8451.99,7749.94,6060.56
8596.17,8086.65,6060.56
9167.76,8542.81,6060.56
9955.45,8973.04,6060.56
9584.54,8780.75,6060.56
9533.95,9113.87,6060.56
9007.1,8013.93,6060.56
9026.24,8660.72,6060.56
9510.89,9186.98,6060.56
9814.64,9566.55,6060.56
10768.56,10549.47,6060.56
12176.44,11315.32,6060.56
11388.61,10665.4,6060.56
11065.16,10511.74,6060.56
11014.0,10586.31,6060.56
11032.05,10738.24,6060.56
10206.91,9408.52,6060.56
10606.3,9636.03,6060.56
10040.06,9563.38,6060.56
10845.47,9700.55,6060.56
9765.78,8915.83,6060.56
8727.08,7037.76,6060.56
8430.21,7176.87,6060.56
8263.73,7968.25,6060.56
9110.49,8310.94,6060.56
9091.57,8219.74,6060.56
8812.9,7869.89,6060.56
8285.42,7869.89,6060.56
9476.08,8778.54,6060.56
10433.83,9530.77,6060.56
9748.69,9559.01,6060.56
9867.96,9452.96,6060.56
10039.09,8822.18,6060.56
10074.06,9391.93,6060.56
9366.38,8663.2,6060.56
9136.95,8663.2,6060.56
10405.82,9865.78,6060.56
10015.34,9435.33,6060.56
10576.16,9691.28,6060.56
9579.73,9242.02,6060.56
10147.68,9905.27,6060.56
10531.51,9495.75,6060.56
10136.97,9471.29,6060.56
10155.96,9658.65,6060.56
10236.91,10189.64,6060.56
11400.13,10886.98,6060.56
10966.72,10801.91,6060.56
11216.59,10786.75,6060.56
11029.18,10389.82,6060.56
10405.0,10131.97,6060.56
10997.3,10467.74,6060.56
10628.48,10191.52,6060.56
10762.57,10299.93,6060.56
10854.79,10630.05,6060.56
11354.83,10856.53,6060.56
11246.32,11070.14,6060.56
11321.98,10343.49,6060.56
10107.41,9741.12,6060.56
10124.88,9482.09,6060.56
9738.69,8084.09,6060.56
8799.19,8137.37,6060.56
9331.27,8829.11,6060.56
9999.41,9147.29,6060.56
9721.33,8974.34,6060.56
9842.76,9467.8,6060.56
10168.64,8718.13,6060.56
9317.35,8718.13,6060.56
9020.35,7646.44,6060.56
8774.29,8290.22,6060.56
9430.08,9124.06,6060.56
9568.56,8660.3,6060.56
9451.71,7831.88,6060.56
7919.75,6970.68,6060.56
8477.02,7842.55,6060.56
9085.32,8843.37,6060.56
9832.76,9339.92,6060.56
9188.56,8326.74,6060.56
8414.24,8006.65,6060.56
9036.75,8435.09,6060.56
9419.93,9330.08,6060.56
10273.12,9721.52,6060.56
9982.38,9533.9,6060.56
10523.81,10020.34,6060.56
10509.24,9953.99,6060.56
10438.96,10330.02,6060.56
11096.84,10170.14,6060.56
10212.67,9599.17,6060.56
11285.98,10982.61,6060.56
11888.76,11636.55,6060.56
11249.06,10082.29,6060.56
10564.73,9991.19,6060.56
10485.73,9275.04,6060.56
10057.09,8926.34,6060.56
9235.71,7891.91,6060.56
