AvgDistance,LowestDistanceThisGen,LowestDistance
11255.55,9047.37,9047.37
10002.91,9047.37,9047.37
9689.95,8346.34,8346.34
9649.1,7772.03,7772.03
8652.2,7416.79,7416.79
8389.77,6755.75,6755.75
7914.59,6727.52,6727.52
8518.71,7203.96,6727.52
7869.99,6114.35,6114.35
7511.2,6338.4,6114.35
7504.75,6123.39,6114.35
7303.16,5875.95,5875.95
7165.64,6159.98,5875.95
7704.52,6159.98,5875.95
8110.71,6259.51,5875.95
7761.27,6724.27,5875.95
8164.14,6724.27,5875.95
8113.51,7107.48,5875.95
7917.48,7033.45,5875.95
8201.34,6727.57,5875.95
7831.74,6417.64,5875.95
7848.15,6614.74,5875.95
7645.07,5968.77,5875.95
8048.22,7046.6,5875.95
8435.92,7110.5,5875.95
9089.69,7918.95,5875.95
8184.63,5614.04,5614.04
7695.37,6238.96,5614.04
7931.4,6825.62,5614.04
7744.3,6664.69,5614.04
7772.68,5947.73,5614.04
7571.57,5939.74,5614.04
7693.06,6612.45,5614.04
8095.38,7104.51,5614.04
8262.18,7347.77,5614.04
8407.81,6595.42,5614.04
7704.49,6482.3,5614.04
7412.64,6464.96,5614.04
7254.8,6129.67,5614.04
7442.81,6528.08,5614.04
7509.79,6528.08,5614.04
8409.69,7108.5,5614.04
8513.6,7152.16,5614.04
8252.92,7334.24,5614.04
8198.1,7076.19,5614.04
8620.3,7150.08,5614.04
8376.66,7228.44,5614.04
7934.41,7043.12,5614.04
7778.86,6402.04,5614.04
7568.89,6402.04,5614.04
8217.33,5995.13,5614.04
8019.84,6157.71,5614.04
7835.74,6166.36,5614.04
7880.7,6283.83,5614.04
7835.78,5615.81,5614.04
7138.61,5857.02,5614.04
7625.11,6940.64,5614.04
8639.91,6811.0,5614.04
7765.36,6724.09,5614.04
8634.53,7299.78,5614.04
8567.3,6695.0,5614.04
8159.25,7208.34,5614.04
8464.01,6901.31,5614.04
8033.67,6481.57,5614.04
7835.2,6682.05,5614.04
8355.95,7119.51,5614.04
8197.86,6257.7,5614.04
8326.82,6303.21,5614.04
7622.1,6142.95,5614.04
7325.1,5917.64,5614.04
7091.21,5755.95,5614.04
7268.16,5755.95,5614.04
7322.33,6047.48,5614.04
7764.56,6089.55,5614.04
7502.68,6089.55,5614.04
7681.24,6190.22,5614.04
7739.51,6570.36,5614.04
7857.03,6783.82,5614.04
7989.17,7342.85,5614.04
8720.65,7441.99,5614.04
8103.69,6607.04,5614.04
8230.21,6433.42,5614.04
8439.85,7170.38,5614.04
8764.04,7719.43,5614.04
8904.54,8372.26,5614.04
9577.16,7882.34,5614.04
8792.96,7983.37,5614.04
8981.98,8018.4,5614.04
9584.88,7312.62,5614.04
8711.26,7201.47,5614.04
8903.38,7034.32,5614.04
8360.66,6803.01,5614.04
8375.16,7102.88,5614.04
8317.07,6745.76,5614.04
7923.46,6944.84,5614.04
8246.6,6944.84,5614.04
8228.75,6561.86,5614.04
8070.46,6658.24,5614.04
8434.88,6981.03,5614.04
8877.59,8297.34,5614.04
9570.94,8299.07,5614.04
9309.7,7463.97,5614.04
8258.09,7242.27,5614.04
8554.44,7303.88,5614.04
8682.67,7957.83,5614.04
8216.53,7270.8,5614.04
8556.87,7065.01,5614.04
8329.83,7369.44,5614.04
8422.33,7257.69,5614.04
8658.69,7463.05,5614.04
8440.9,6068.01,5614.04
7564.89,5833.29,5614.04
7763.65,6952.5,5614.04
8263.11,6321.05,5614.04
7885.75,6652.63,5614.04
7992.94,6593.45,5614.04
7684.5,5935.89,5614.04
8214.44,6344.94,5614.04
8011.84,7035.65,5614.04
8360.08,7273.3,5614.04
8340.02,7069.62,5614.04
8930.79,7729.82,5614.04
8667.89,7626.11,5614.04
9291.17,7847.01,5614.04
9165.32,7559.21,5614.04
8338.95,7253.39,5614.04
8365.55,6416.45,5614.04
