AvgDistance,LowestDistanceThisGen,LowestDistance
5174.41,4241.45,4241.45
3814.36,3582.12,3582.12
4009.59,3418.92,3418.92
4418.26,4208.66,3418.92
4674.23,4369.41,3418.92
5139.79,4533.44,3418.92
4977.75,4797.85,3418.92
5206.24,4531.6,3418.92
5166.31,4467.0,3418.92
4706.38,4331.75,3418.92
5806.5,5286.58,3418.92
5126.31,4016.68,3418.92
4462.3,3868.51,3418.92
3928.08,3822.94,3418.92
4742.58,3822.94,3418.92
4143.27,3462.39,3418.92
4173.62,3918.02,3418.92
4843.89,4710.18,3418.92
5213.2,5117.69,3418.92
4974.78,4411.49,3418.92
4374.07,3920.47,3418.92
4621.48,3872.78,3418.92
5091.95,4954.69,3418.92
4663.24,3410.58,3410.58
3796.6,3614.36,3410.58
4277.03,3310.07,3310.07
3858.29,3215.99,3215.99
3511.04,2959.87,2959.87
4470.14,3602.01,2959.87
3624.48,3381.29,2959.87
4440.54,4272.09,2959.87
5116.67,4272.09,2959.87
4869.23,4340.51,2959.87
4744.4,4190.41,2959.87
4696.1,4137.56,2959.87
4552.9,4062.16,2959.87
4311.03,3914.28,2959.87
5070.86,4391.64,2959.87
4515.94,3656.1,2959.87
4745.35,4660.58,2959.87
5196.49,5034.03,2959.87
5514.72,4731.63,2959.87
4817.28,4731.63,2959.87
4843.34,4499.82,2959.87
4710.04,4382.68,2959.87
4308.38,3853.75,2959.87
5083.74,4228.84,2959.87
4063.45,3316.36,2959.87
4601.0,4336.99,2959.87
4521.09,4048.03,2959.87
4586.12,4220.41,2959.87
4626.17,4090.59,2959.87
3986.86,3606.49,2959.87
4717.53,3865.11,2959.87
4282.0,3815.35,2959.87
4256.11,4002.28,2959.87
4355.55,3583.93,2959.87
4539.52,4115.62,2959.87
5276.21,4457.76,2959.87
5003.09,4582.33,2959.87
4900.79,3659.86,2959.87
4351.45,3598.87,2959.87
4673.54,4055.21,2959.87
4516.88,4086.89,2959.87
4750.55,4605.18,2959.87
4830.82,4380.08,2959.87
4391.85,3749.17,2959.87
4442.1,3749.17,2959.87
4828.33,4092.2,2959.87
4581.06,3836.23,2959.87
4328.3,4150.27,2959.87
4473.97,3880.28,2959.87
4187.69,3560.63,2959.87
4391.9,3769.21,2959.87
4459.77,3748.83,2959.87
4181.3,3748.83,2959.87
4626.41,3748.83,2959.87
4065.74,3686.06,2959.87
5062.24,4644.25,2959.87
4891.83,4268.65,2959.87
4143.87,3395.3,2959.87
4038.89,3589.89,2959.87
4049.1,3876.53,2959.87
4177.65,3789.14,2959.87
4241.62,3836.44,2959.87
4908.5,4266.83,2959.87
4513.52,3652.58,2959.87
4244.87,3685.55,2959.87
4224.42,3753.34,2959.87
4201.51,4125.42,2959.87
4497.42,3828.31,2959.87
4782.42,3851.29,2959.87
4936.94,3920.71,2959.87
4528.82,3966.26,2959.87
4462.65,3907.97,2959.87
4865.98,3907.97,2959.87
4373.32,4129.25,2959.87
5073.16,5024.36,2959.87
5018.28,4399.97,2959.87
4175.86,3215.77,2959.87
3764.17,3063.36,2959.87
4115.01,3413.69,2959.87
4045.15,3515.3,2959.87
4394.19,3852.96,2959.87
4450.32,3315.18,2959.87
4945.81,4858.18,2959.87
5154.91,4317.24,2959.87
4747.89,4614.83,2959.87
4979.22,4419.55,2959.87
4511.12,3606.79,2959.87
4222.85,3699.43,2959.87
3954.87,3826.36,2959.87
4589.67,3904.72,2959.87
4726.85,4409.92,2959.87
4871.16,4539.1,2959.87
4982.56,4811.52,2959.87
5054.96,4838.0,2959.87
4964.31,4364.37,2959.87
4799.85,4586.87,2959.87
4237.53,3648.24,2959.87
4516.09,4340.04,2959.87
4950.57,4408.91,2959.87
4929.49,4597.79,2959.87
5131.65,4885.3,2959.87
5474.91,4841.34,2959.87
4496.18,3857.49,2959.87
4455.32,2962.79,2959.87
3865.53,2973.78,2959.87
